,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
statlog-image,0.5202735909675678,0.7544956675009044,0.5045500506526648,0.8723710549161925,0.8779896846352394,0.18031244947024358,0.34642832108916904,0.660261575488076,0.6881946007741042,0.32565158645575937,0.8200157993186695,0.8112767146456923,0.6764850191357367,0.662386626352872,0.07596504113559399,0.25806393386582976,0.6883856555359702,0.21790876610220752,0.8433011447975376,0.9123607899326747,0.9285496013212886,0.40528458528064637,0.5911063798796544,0.8256321329759709,0.18378880907160683,0.4170539352113493,0.8392190174130517,0.43776274048564684,0.2833111476587444,0.6388952258416368,0.28808562761469125,0.694508451758104
hepatitis,0.47400832962599293,0.42661942380511175,0.3208388820348874,0.7082305820070249,0.3501698437043356,0.6048055100068571,0.7036611848756485,0.734133725261528,0.3518665458793117,0.3800163282601902,0.4036915067999811,0.2894177211078066,0.256531499152848,0.314836075948442,0.6335569612131245,0.4899330530684767,0.3516462016183006,0.588998554059537,0.3613880507734078,0.3881531255256707,0.4098189207461795,0.594485132157235,0.28232967851959373,0.38703500874716623,0.6157394320101612,0.7113230266239842,0.5733366196433157,0.749105427024789,0.6479614149149553,0.32624320420355607,0.5463618113770643,0.5380554905508481
plant-texture,0.7008022534889289,0.6901828011453717,0.43554770070703663,0.9199503349501436,0.9388938986323839,0.19367165403883274,0.1823972501179483,0.5405382096854132,0.6104641512604867,0.4513001395847362,0.7972953747664129,0.9394820396673114,0.611249344217281,0.7193451472352216,0.015133905237115096,0.3411732704367633,0.7163401488848108,0.25794507025305063,0.8449039420847129,0.9565424159841113,0.9674052036713797,0.5384283883526634,0.5341542364199565,0.807659753362695,0.13739203733788855,0.4798571265548794,0.9149479400334047,0.5155325870078276,0.3436907594365317,0.6732994380323403,0.38033472434853544,0.5766526701052223
ringnorm,0.44412830653837876,0.3551756808041927,0.9510516556921214,0.05805705900576845,0.08422719926557089,0.7173739860761097,0.9706769562580037,0.17748838720092783,0.48846309804523685,0.7715321247402785,0.28542981519347904,0.6590729216778661,0.5877204224915304,0.9425407135690658,0.8097891403197075,0.7456195591122546,0.9757716846725,0.6691935851108065,0.33036782195772,0.16683740488146057,0.13308799144649586,0.5672355970110452,0.8413888142554995,0.3263570656509687,0.024585819720338735,0.16350585481549673,0.0351262127362218,0.33856372746785324,0.5737804744021939,0.9692776948733389,0.6401166948666038,0.2277865618039738
energy-y1,0.18528172428229459,0.7396869454652725,0.5487678528622085,0.7396767516268972,0.5331059029146618,0.32670179868092214,0.7497727303363215,0.8884823141459527,0.6858376069683896,0.1047834012222124,0.6854745774077365,0.3657392968849816,0.599103746488638,0.39417488001644796,0.40153924380216655,0.1891599718054496,0.48545450885187064,0.2914862085865353,0.6449212243066103,0.6218460392778786,0.6421621736932308,0.25685912383790327,0.5474857940081408,0.6768538719708774,0.4663457811004672,0.45257946483507855,0.5747231164940761,0.4426789303074868,0.3341680196080937,0.437204354394153,0.22315308247888654,0.8316171520779954
energy-y2,0.1812714354581209,0.7440258942509973,0.5467873883338978,0.7442677137270364,0.5364147185700866,0.32324377205069976,0.7490331603423873,0.8944092178174874,0.6886009354190507,0.0981853984266113,0.6893038287553598,0.3628898904195521,0.6009877577956074,0.390165078965212,0.39789736224080985,0.18324350269895257,0.4818444642543711,0.28753119691448875,0.6482679852497929,0.6256036783351492,0.6467539938385822,0.25266583023718,0.5463121167484477,0.6807810976310035,0.46977572715146304,0.45361364180011415,0.5781433908850688,0.4424541420610902,0.33112981338954167,0.4331662206418271,0.21835371783336852,0.8378063094296742
dermatology,0.5631576207231108,0.6609139029987615,0.39158766157517333,0.8871018405078638,0.7457840007597605,0.2959754715254833,0.36032061737548016,0.6752478276340655,0.5616432738421896,0.34094345999521686,0.7110952145875165,0.6750029660459081,0.5202340783089503,0.5217676002341659,0.19615687580422644,0.31077433166512214,0.547322153057238,0.31972683039977656,0.7187018344299818,0.7922743878919192,0.8250282984746174,0.49128908209582856,0.4348872612206371,0.7153620146367138,0.33950502385107184,0.5690474072006998,0.8079892637555821,0.5871232306283278,0.4098444677810774,0.5074924145003097,0.36367169820950696,0.6457296543088318
vertebral-column-3clases,0.15463113543657142,0.8065918576543463,0.970849044078059,0.4257032860168064,0.5634437677180687,0.2429013216481123,0.8194726696771584,0.6285163460159501,0.8815147756166536,0.27818657154276427,0.752714490350358,0.7110449987404389,0.9144315846479315,0.8541096530785766,0.34906004223719594,0.2504941105052933,0.931444463607288,0.20911512495228077,0.7696020742768599,0.6635020824254547,0.6280218130454472,0.15423228561520935,0.9710043240915464,0.770518076993473,0.027798261691462524,0.029890639378609234,0.40010496319811534,0.07463711942621083,0.16174623865301171,0.9109652266538075,0.18849768404430248,0.7429704391269641
chess-krvk,0.11636678147189601,1.0,0.7795841139073133,0.76880533482844,0.9863910976689186,0.0,0.653186223630114,0.9074188928747173,1.0,0.002739645598278237,1.0,0.727084229196004,1.0,0.7035320064276415,0.05052844311228696,0.0,0.7989747239494495,0.0,1.0,0.9707395699139283,0.9677846831532405,0.016597688562924557,0.9114723207687586,1.0,0.11067730655532093,0.10598083553657778,0.7515939348477793,0.04664128783740456,0.0,0.7349775752153177,0.0,1.0
seeds,0.11205126092311728,0.8088698531910441,0.9937365816032594,0.3960515093164606,0.5239172575044865,0.25705185809970926,0.8736587585091324,0.6459500581379989,0.8905590119539023,0.2559590652550744,0.7403309876277903,0.6705962533764671,0.9198386559897159,0.837936651220496,0.3867089312138512,0.24316509038692866,0.9242929382484198,0.21447931208251692,0.7515076165710582,0.6286975885707514,0.5937983987251513,0.12909445027356514,0.9840620494127952,0.757829866481311,0.042598449364578475,0.017232511729828093,0.3576339731953387,0.06027420689264151,0.1602233933606635,0.9041100338217105,0.1767007213054008,0.7571420858254387
