,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
molec-biol-splice,0.360645726492461,0.48099921603854645,0.7182078879383316,0.333932815300219,0.5770309983562735,0.2695907078369945,0.7734065586589114,0.797323604968657,0.7221930483066,0.2558164818792638,0.7964853747824008,0.7372407995363097,0.5991983302250056,0.7226273530315808,0.719345562274772,0.391790970737588,0.8125585255187224,0.2626910142097586,0.7440041304322697,0.23200573200520258,0.29208056599665216,0.28998894061636393,0.715137833835296,0.8185283118092798,0.7415129377855867,0.26892287374337215,0.74827524569909,0.21003799128373743,0.2797820776251863,0.5746303756238135,0.2779275713160565,0.5699189054017301
twonorm,0.7271235336912455,0.360840038059057,0.30288728308355795,0.6867210599205664,0.7287190393620867,0.8327780500704159,0.20282714415057063,0.3525227987867444,0.18506516874798734,0.8308834595150837,0.44643513809324925,0.2347685472205436,0.5743150193558099,0.6893954949624131,0.18993028296888229,0.5211441163855185,0.28176589413606357,0.8242582281050853,0.7859424924641445,0.8018432753141582,0.7987212177813272,0.7580258565363365,0.1731589187726084,0.45159844308584723,0.16260886803712896,0.8210293688047788,0.24204909173393233,0.7523450535643903,0.767589198575661,0.5719023654521009,0.8195991258107153,0.39818155127981253
plant-texture,0.0,0.9254198801514352,0.40130097200873843,0.0,0.1389259705890633,0.22062806855214734,0.7053300421147938,0.5022272818792399,0.9634544251101662,0.19118656033640477,0.4282971099865176,0.8658039431109241,0.9576671859130139,0.19778148440186405,0.947939317085796,0.0,0.6703963702228815,0.16160014581340887,0.2158585609502049,0.2895634752717798,0.049395697650093696,0.0,0.7871600659781415,0.4851241872757868,0.8250477824341779,0.16464009871591778,0.7788638677562932,0.3114113532610973,0.041200749591147404,0.07815753850943377,0.1252172262595648,1.0
ringnorm,0.7050370037251251,0.40459611128420014,0.23686888074721826,0.6604760512931199,0.6965972985713221,0.8469655300373817,0.16349928322541696,0.3012295297427402,0.18322515477562298,0.849615582155495,0.39431547065636424,0.23585949639434156,0.6411500396724419,0.6473936236801482,0.1850628738851984,0.4674187823383843,0.24132008103405686,0.8329940733897423,0.7617097626414215,0.8405893758755152,0.7954595325297492,0.7503865363590195,0.16977628175599596,0.39872828553027484,0.1474001713631554,0.8288177787759576,0.24084557908886983,0.7877633525578489,0.7626599851223207,0.5224754472491965,0.8269688820200344,0.4394021674187314
spect,0.32194832483084873,0.7136443097338899,0.2508705938968,0.29809124551890104,0.36875914534887494,0.5738394925063,0.3876280934482001,0.3214055721476196,0.5691036340183837,0.5340979756604349,0.32461419773863226,0.49012604862387543,0.9111009362747672,0.3630060906092745,0.5115903035368801,0.1970365759956005,0.36629952822868467,0.5417253521927206,0.49609586815495793,0.6169180127848203,0.4221682322077122,0.3727432537223709,0.5180453824187395,0.3603139639712658,0.464711012620438,0.5296173229611417,0.4185462829976858,0.6370435762403522,0.4268099359642992,0.26396134502071195,0.5012527917536039,0.7406591711977498
energy-y2,0.3638173139821279,0.44080578576902174,0.8201269160582999,0.3433272045308774,0.6003408097500336,0.2147414814347279,0.8482370003155181,0.878071541935344,0.7590693245929087,0.19103120547574765,0.8734378401593932,0.7608257046006498,0.5308256222446214,0.7753746527083502,0.7489361955737616,0.44412969477874664,0.8837627542280793,0.21701677727854524,0.7939441389859634,0.15510697278784327,0.2576752723752294,0.27646603549272275,0.7699227104172293,0.8889606824935066,0.8049338191322044,0.22635657958256533,0.7684241390340122,0.14333847693801643,0.25842880907610516,0.6413046921963315,0.23931174309312458,0.5256149169263145
steel-plates,0.07881002709527565,0.7798113884773384,0.5677975371206025,0.06198241002107636,0.27674434784052454,0.1698115273833801,0.8022255593585382,0.6596472350592688,0.9465927991720735,0.11764021648219057,0.5956658090691541,0.8589400317441317,0.8758562779889173,0.384129700926795,0.900527454528513,0.12487991667164043,0.7584960051200605,0.1419550507022567,0.46816055771110343,0.18894276059649984,0.06518653939388248,0.04738626603971019,0.8752174180924345,0.650258172521201,0.8827591526075859,0.13995802215693198,0.7830803171039179,0.23270776579701122,0.08513734498946503,0.27887067498878965,0.10703444621637777,0.8461026899361022
vertebral-column-3clases,0.3097529339212288,0.5511194327917232,0.6362360448509489,0.27526684914863914,0.5181299435415698,0.2644847887258397,0.7405129225197542,0.7409778053043599,0.7434417030857847,0.2580478055993268,0.7335423960350903,0.7658580714759774,0.7010880281197137,0.6641541784424287,0.7374847838349199,0.3059163621627695,0.778793747905517,0.24824420480324602,0.7029291520412632,0.2633908634603974,0.2642761272742092,0.256548005742826,0.7314525999661131,0.7632882532535467,0.7426626693910786,0.25595462052996965,0.772611737946058,0.23777142158793632,0.2476756949519224,0.49733006105220096,0.26207734866475724,0.640321766940122
chess-krvk,0.21934335195926055,0.5288093238230189,0.8900605904684751,0.16664655750604038,0.5169920311391232,0.012037013599748441,1.0,0.9797218950581195,0.9340749069061751,0.0018677818839548555,0.9370069286784523,0.9385221225209928,0.6922629810837532,0.7343788214342984,0.937432579378216,0.2960413931320924,1.0,0.030003308859344352,0.8384981717442984,0.0,0.06593283646944978,0.11357047608007707,0.9921269498643274,0.9347123368550734,0.994854888259591,0.029496635538369776,0.9429709990404095,0.0,0.07360265347562082,0.5953979864146863,0.04058555799903678,0.6458563201958817
statlog-shuttle,0.016799512669637005,0.9379808331006138,0.3596999183899271,0.046957432329915026,0.11110994306512748,0.31004669371001375,0.6398566365095478,0.4166400279993378,0.9317037748228707,0.23631839616784261,0.34592128435818065,0.7646502394035543,0.9039865762380762,0.14686965746849834,0.8620459478299191,0.06763802043853731,0.5867398705956887,0.24766659933115057,0.15179008516447876,0.3489713572195837,0.09218705290027042,0.03492498073275001,0.7429368988246081,0.4194580407209238,0.7745438996352951,0.2520843307362891,0.6308455059174752,0.4105979947972058,0.11541202197066087,0.06860251477218535,0.20331272517210033,0.9566527156581288
