-0.288664,-0.719726,-0.239908,-0.402361,0.176407,-0.750332,-0.0563019,-0.277038,-0.381667,-0.601661
-0.235923,-0.719726,-0.238465,-0.409949,0.339552,0.562209,-0.0379171,-0.273889,-0.374226,-0.607638
-0.235923,-0.623842,-0.224855,-0.35025,-0.459293,-0.258129,-0.0259019,-0.263656,-0.351372,-0.595684
-0.288664,-0.719726,-0.239908,-0.402361,0.0132629,-0.24641,-0.0273495,-0.277825,-0.380073,-0.619592
-0.235923,-0.754593,-0.243414,-0.431673,0.738974,0.931362,-0.05746,-0.280974,-0.384856,-0.613615
-0.288664,-0.711009,-0.238877,-0.395847,1.02026,1.2595,-0.0547095,-0.270741,-0.372632,-0.58373
-0.235923,-0.745876,-0.242177,-0.426234,0.272044,-0.451494,-0.0538409,-0.280187,-0.384856,-0.613615
-0.288664,-0.728443,-0.240939,-0.408875,-0.200512,-2.64883,0.0547304,-0.280187,-0.388576,-0.631546
-0.288664,-0.73716,-0.24197,-0.415388,0.176407,-1.55309,0.0547304,-0.280187,-0.386982,-0.631546
-0.288664,-0.719726,-0.239908,-0.402361,0.660214,0.755575,0.0330161,-0.274677,-0.376884,-0.625569
-0.288664,-0.76331,-0.245064,-0.43493,2.42667,1.2595,0.025778,-0.281761,-0.388576,-0.631546
-0.288664,-0.754593,-0.244033,-0.428416,0.924621,-0.305005,0.025778,-0.281761,-0.388045,-0.631546
-0.288664,-0.728443,-0.240939,-0.408875,0.362054,-0.305005,0.0981589,-0.277825,-0.382199,-0.631546
-0.288664,-0.719726,-0.239908,-0.402361,0.339552,0.42158,-0.0176505,-0.276251,-0.377947,-0.619592
-0.235923,-0.719726,-0.238465,-0.409949,0.204536,0.562209,-0.0285076,-0.274677,-0.374226,-0.613615
-0.288664,-0.711009,-0.238877,-0.395847,0.0357656,-1.81677,0.127111,-0.276251,-0.383793,-0.631546
-0.235923,-0.719726,-0.238465,-0.409949,0.204536,0.978238,-0.0285076,-0.274677,-0.372632,-0.613615
-0.288664,-0.615125,-0.227536,-0.324194,-0.768705,-2.25624,-0.0104124,-0.270741,-0.373695,-0.613615
